"Sep 21, 2024",0,0,0,196,200,229,219,264,277,331,329,320,374,460
"Sep 28, 2024",0,0,0,169,209,218,232,295,296,338,329,321,422,450
"Oct 5, 2024",0,0,0,201,233,225,204,253,329,396,349,439,390,511
"Oct 12, 2024",0,0,0,222,244,231,237,335,362,327,349,495,588,653
"Oct 19, 2024",0,0,0,169,145,183,232,277,291,317,406,385,621,648
"Oct 26, 2024",0,0,0,168,192,227,249,308,332,368,484,561,704,698
"Nov 2, 2024",0,0,0,287,267,265,294,420,306,372,411,412,439,426
"Nov 9, 2024",0,0,0,362,389,370,281,306,395,393,383,424,463,446
"Nov 16, 2024",0,0,0,363,349,381,301,293,327,427,397,365,385,352
"Nov 23, 2024",0,0,0,272,317,379,262,344,315,285,323,360,332,274
"Nov 30, 2024",0,0,0,251,223,203,242,238,255,317,300,292,201,206
"Dec 7, 2024",0,0,0,191,166,224,343,232,212,198,205,242,211,237
"Dec 14, 2024",0,0,0,268,289,252,208,198,216,249,241,224,245,225
"Dec 21, 2024",0,0,0,255,247,248,224,207,268,249,284,251,230,216
"Dec 28, 2024",0,0,0,107,112,144,144,166,171,189,217,172,215,169
"Jan 4, 2025",0,0,0,151,142,170,179,209,264,261,306,293,311,198
"Jan 11, 2025",0,0,0,156,170,183,170,194,187,176,192,182,172,164
"Jan 18, 2025",0,0,0,123,198,210,223,199,243,244,268,267,255,219
"Jan 25, 2025",0,0,0,133,134,161,169,207,228,233,227,259,248,189
"Feb 1, 2025",0,0,0,151,159,170,177,193,181,191,200,215,223,201
"Feb 8, 2025",0,0,0,157,172,190,177,182,174,153,137,204,196,146
"Feb 15, 2025",0,0,0,108,129,139,159,175,137,165,193,176,183,148
"Feb 22, 2025",0,0,0,159,195,174,182,173,184,191,192,204,189,154
"Mar 1, 2025",0,0,0,211,208,218,223,210,284,210,196,160,190,141
"Mar 8, 2025",0,0,0,105,153,165,137,140,168,350,366,315,220,306
"Mar 15, 2025",0,0,0,123,225,225,257,315,282,363,327,240,284,206
"Mar 22, 2025",0,0,0,219,228,247,222,234,328,401,351,325,315,252
"Mar 29, 2025",0,0,0,125,179,189,183,210,242,195,305,285,240,216
"Apr 5, 2025",0,0,0,163,158,200,297,250,233,270,292,269,245,181
"Apr 12, 2025",0,0,0,238,242,251,235,239,215,254,281,290,21,301
